titre_memoire;nom_encadreur
Essai de substitution du tourteau de coton par les feuilles de  zizyphus mauritiana enrichi à l’urée pour l’engraissement des caprins  dans la région de l’Extrême-Nord Cameroun. ;Pr PONKA Roger
Incubateur et productivité des poules villageoises : cas de la ferme agropastorale de Foullouwayna  du CODAS CARITAS de Yagoua.  ;Dr ZIEBE Roland
Essai de substitution du maïs par le sorgho CS 54 germé dans la l’alimentation des poulets de chairs. ;Dr ZIEBE Roland
Effet de la substitution partielle de la farine de maïs par la farine de cabosse de cacao sur les performances de croissances et de survie des alevins de Cyprinus carpio.;Dr GOUDOUM Augustin
Evaluation des performances du sorgho Mandjéri dans l’alimentation des poulets de chairs.  ;Dr HAMAWA YOUGOUDA
Valorisation des sous-produits agricoles dans la pisciculture dans le Département de la VINA.;Dr FOYET Harquin Simplice
Effet de la densité sur les performances des larves de la carpe commune en système hors sol, fertilisé à la fiente de poule et supplémenté à l’aliment artificiel. ;Dr FAMENI TOPWA Sidonie
Influence des médicaments utilisés en prophylaxie sur les paramètres zootechniques et sur la santé des Lapins : cas de la ferme expérimentale de Nkolbisson.;Dr ZIEBE Roland
Influence de l’alimentation (bale du riz, son de maïs et tourteau du coton) sur la production laitière à Maroua- Cameroun. ;Pr ABDOU BOUBA Armand
Étude de la production laitière des vaches dans les zones périurbaine de N’Djamena. ;Pr ABDOU BOUBA Armand
Enquête épidémiologique de la brucellose dans la région de l’Ouest cas de l’arrondissement de Koutaba.;Dr ZIEBE Roland
Reproduction des clarias;Dr AMANG Perfusion Andre
Pasture resources in PETE sub division of the Far-North Region of Cameroon.;Pr DJOULDE DARMAN Roger
Effet compares de incorporation de deux fourrages : Azadirachta indica et Arachis hypogaea sur les performances de reproduction des lapines et de la viabilité des lapereaux dans une ferme cunicole du département du Diamaré. ;Pr DJOULDE DARMAN Roger
Élevage des petits ruminants et circuits de commercialisation de la viande des petits ruminants dans l’arrondissement de Maroua II.;Dr ZIEBE Roland
Effet de l’incorporation des épluchures de concombre sur les performances de croissance des lapereaux après sevrage.;Pr PONKA Roger
Innovation locale : utilisation du « kanwa » (sel gemme) pour réduire le goût amer du chocolat;Pr PONKA Roger
Formulation du concentré sucré du lait de soja;Pr ABDOU BOUBA Armand
Transformation de la mélasse en produits de la distillerie;Dr MEZAJOUG KENFACK Laurette Blandine
Influence de la matière première et du procédé sur la qualité hygiénique et sensorielle du « kilishi »;Dr BAKARI
Amélioration du rendement de la matière grasse des graines de coton à l'extraction et analyse des pertes raffinerie.;Dr GOUDOUM Augustin
Évaluation des apports nutritionnels et accès des aliments par les enfants de 6-59mois dans les familles dans le camp des réfugiés de Minawawo.;Pr DJOULDE DARMAN Roger
Management des risques qualité organoleptiques de la bière;Dr GOUDOUM Augustin
Amélioration du fonctionnement de la station Cleaning In Place (CIP) automatique en salle de brassage ;Pr NKOUAM Gilles Bernard
Valorisation des balles de riz (Oryzasativa) par la fabrication briquettes combustibles en vue de l’étuvage du riz ;Pr DJOULDE DARMAN Roger
Étude de l’origine de pourritures des tubercules des pommes de terre (Solanum tuberosum) et proposition d’une méthode de conservation : cas de coop CA Babajou;Pr ABDOU BOUBA Armand
Maîtrise de la qualité microbiologique de la bière en filtration;Pr DJOULDE DARMAN Roger
Structuration des organisations féminines transformatrices de Karité : cas Belacd-caritas  de SARH au Tchad;Pr DANWE RAIDANDI
Autonomisation des personnes vulnérables à travers l’agriculture;Pr DANWE RAIDANDI
Impact de l'approche HIMO sur la réduction de la pauvreté dans les zones bénéficiaire. Cas de Wina et de Gobo;Pr DANWE RAIDANDI
Analyse de la chaîne de valeur de l’oignon dans le bassin de production de Doumourou dans le Département du Mayo-Kani Région de l’Extrême-Nord;Pr MADI ALI
Analyse des performances technico économiques des exploitations familiales agricoles dans le département de Mayo Tsanaga Extrême-Nord Cameroun accompagnées par le comité  diocésain de développement;Pr MADI ALI
Impact de la certification sur les performances des systèmes Agroforsterie à base de Cacao (SAFC) traditionnels au centre Cameroun;Dr ABDOUL NASSER
Autonomisation des producteurs du département de la Bénoué (Garoua) par la pratique du warrantage;Dr EKAMENA Sabine
Retombées socio-économiques de la modernisation de la filière Neem dans la localité de Maroua;Dr GOUENET Rene
Test d’adaptabilité  de quelques  variétés de niebé dans la localité Mayo Meessala;Dr NGOH DOOH Collins
Inventaire des syrphidea (Diptère) en rapport avec les ressources florales dans la zone agricole de Meskine (Extrême-Nord Cameroun);Dr AZO’O ELA Michelson
Impact des biopesticides sur les cultures maraîchères;Dr HAMAWA YOUGOUDA
Impact du calendrier de culture sur le rendement du riz (oryzasatva);Dr HAMAWA YOUGOUDA
Vegetative Propagation By Cuttings Of Selected Clones Of Robusta Coffee(Coffeacanephora) In Different Rooting Substrates;Dr TCHATCHOUA TCHAPDA Dorothy
Évaluation agronomique de 4 variétés de sésame introduite en zone  soudano sahelienne;Dr TCHATCHOUA TCHAPDA Dorothy
Effet du poids de la graine et du niveau de fertilisation sur la croissance de l’anacardier;Dr FROUMSIA Moksia
Faisabilité de la culture des Sorghos pluviales en contre saison dans la zone soudano sahélienne: Cas de Maroua;Pr Philippe KOSMA
Étude de l'activité biopesticide des extraits poudreux des plantes dans la conservation du niébé (Vigna unguiculata ) dans la région de l'Extrême-Nord Cameroun;Dr GOUDOUM Augustin
Performance agronomique de la culture de la laitue en pot fertilisé aux extraits organiques;Pr Philippe KOSMA
Effet de trois modes de prélèvement des semences à l’épi sur la croissance et le rendement d’une variété de de maïs (Zea mays l.)  dans le littoral Cameroun : IRAD de Njombé;Pr Philippe KOSMA
Répercussions des visites florales d’insectes sur la pollinisation et les rendements d’Abelmoschus esculentus (Malvaceae) à Nkolbisson (Yaoundé, Cameroun);Pr Philippe KOSMA
Adaptabilité agromorphologique  de  5 variétés d’oignons de saisons pluvieuse dans la zone soudano-sahélienne de l’Extrême-Nord Cameroun;Dr ABIB FANTA
Réponse a la croissance et au rendement de trois variétés du haricot vert  soumises à trois itinéraire techniques (14 23 14 ,7 18 30, 14-23-14+ solupotasse) sur un andosol à l’ouest Cameroun : cas de la localité de Foumbot;Dr TIZE KODA Joel
Impact des types de fertilisants : chimiques,  organiques et biologiques et des modes d'approvisionnement  en eau sur 5 variétés de pommes de terre. Cas de Maroua, Extrême-Nord.;Pr Philippe KOSMA
Effet de la substitution dans la ration alimentaire du maïs par les épluchures de patate (Ipomoea batatas) sur les performances de reproduction des lapines (Oryctalagus cuniculus domesticus) en zone soudano-sahélienne.;Pr PONKA Roger
substitution du maïs par le mil rouge dans l’alimentation des poulets de chair;Pr ABDOU BOUBA Armand
Performances de croissance des chèvres du sahel supplémentés avec du fourrage ligneux;Dr HAMAWA YOUGOUDA
Étude comparée de l’effet  de différents taux de supplémentation des asticots vivants sur les performances zootechniques des alevins du poisson-chat africain, Clarias gariepinnus (Burchell, 1822);Pr NKOUAM Gilles Bernard
Substitution du tourteau de soja  par la farine de niébé blanc dans l’alimentation des poulets de chair.;Pr DJOULDE DARMAN Roger
Étude comparative de deux types  d'aliments (tourteaux de sésame et pelure de patates) sur les performances zootechnique des lapins après le sevrage;Pr FOYET Harquin Simplice
Effet de la substitution du son de maïs par les drêches de bili-bili (séchées) sur les performances de croissance des mouton dans la ferme ovine de SCOOPSIPOMA;Pr DJOULDE DARMAN Roger
Effet de la farine de luzerne supplée à l’aliment des lapines allaitantes sur la croissance des lapereaux;Dr ZIEBE Roland
The comperative study of the effect of 2 rations :Bidens pilosa(Black jack)and Cynodon dactylon(Bahama grass)on the zootechnical performances and Carcass characteristics of fattened goats;Pr PONKA Roger
Évaluation du taux d'éclosablilité et qualité du poussin d’un jour dans la ferme NGV/TRACO;Dr ZIEBE Roland
Effet de trois rations à base de banane sur la croissance des jeunes porcs en zone côtière;Pr NKOUAM Gilles Bernard
le parasitisme d'Apis mellifera et son effet sur la production de miel;Dr FAMENI TOPWA Sidonie
"Étude comparative  des rations supplémentées aux plantes tropicales (Azatirata indica ; Ipomea pes caprae ; Manguifera indica) comme fourrage afin d’améliorer les performances de croissance des lapereaux (Oryctolagus cuniculus) dans une ferme cunicole de Maroua. ";Pr PONKA Roger
Évaluation de la pression vectorielle dans les pâturages et les stratégies de lutte anti vectorielle mise en œuvre par les éleveurs dans l’arrondissement de Pétté, Extrême-nord Cameroun;Pr ABDOU BOUBA Armand
Effets comparés de l'hormone synthétique (OVAPRIM) et de l'hormone biologique (hypophyse)sur les performances de la reproduction de Clarias gariepinus.;Dr BEPPE GALBA Jean
Phenotypic (Physical And Morphometic) Characterisation Of Indegenous Pig Breeds In Three Regions Of Cameroon (Centre, Far North And West Regions).;Pr ABDOU BOUBA Armand
Efficacité technico-économique d’embouche à base des sous-produits agro-industriels : cas du coton;Pr PONKA Roger
Effet des fertilisants organiques sur le mode de propagation (semi et bouturage) d’Artemisia annua en pépinière et en champ;Pr HAMAWA YOUGOUDA
effets des substrats et les modes de semis sur la croissance et le développement duS dans la culture du sorgho;Dr YAKOUBA Oumarou
Essai d'alimentation à base de Piliostigma Thonningii et de Faidherbia albida en système intensif d'embouche bovine dans la zone sub-humide et semi-aride du Cameroun;Dr ZIEBE Roland
Évaluation du potentiel fixateur d’azote de dix (10) accessions d’arachide (Arachis hypogaea) dans la Région de l’Extrême-Nord Cameroun;Dr WASSOUO Felix
Effet des milieux de cultures sur les paramètres bio morphologiques de  Fusarium oxysporum sp de niébé et leur pathogénicité;Dr WASSOUO Felix
Résiliation des producteurs agricoles et enjeu économique : cas du département de Mayo Sava;Dr AROUNA
Test d’efficacité  de cinq (05) extraits de plantes pour la lutte contre certains ravageurs du sorgho ( Sorghum bicolor);Pr ABDOU BOUBA Armand
Effet de la substitution de la farine de poisson par la farine d’asticots sur les performances zootechniques de croissance des poulets de la race Brahma.;Pr PONKA Roger
Analyse de la performance technico-economique des producteurs des carottes dans le Département du Diamaré;Dr AROUNA
Effets de la farine d’asticots sur les performances Zootechniques de Clarias;Pr GOUDOUM Augustin
Évaluation des effets de deux hormones sur le greffage du cacaoyer (Theobroma cacao l) dans la localité de Nkoemvome ( Sud Cameroun);Pr TCHATCHOUA TCHAPDA Dorothy
Évaluation du potentiel  d’un inoculum rhizobium commercial par rapport  à l’efficiente symbiotique  sur 02 espèces de légumineuses (Vigna unguiculata et Glycine max);Pr ABDOU BOUBA Armand
Diversité des fusarium spp responsables de la fusariose du Striga chez le sorgho (Pennisetum glaucum)  à l’Extrême-Nord Cameroun;Pr Philippe KOSMA
Conservation de la carotte (Daucuscarota) à travers deux techniques : le séchage et le saumurage;Pr DJOULDE DARMAN Roger
Exploitation des pelures de manioc et élimination du cyanure par des techniques endogènes;Pr PONKA Roger
Effet de la farine d’asticot sur les performances zootechnique du lapin;Pr NKOUAM Gilles Bernard
Adaptabilité de 08 lignées de riz irrigués en réponse avec les différentes doses de NPK dans le bassin de production de Lagdo.;Dr YAKOUBA Oumarou
Effet d'un biofertilisant associé au thé de compost sur la croissance et le rendement de gombo dans la zone péri-urbaine de Maroua( Extrême- Nord, Cameroun);Dr WASSOUO Felix
Évaluation des productivités des facteurs contraignants à la production des bulbes d’oignons dans la Région de l’Extrême-Nord;Pr GOUDOUM Augustin
Évaluation des effets des biopesticides produit à base d’un extrait aqueux de piment, tabac et leurs effets combines contre les pucerons du gombo (Abelmoschus esculentus) dans l’Extrême-Nord localité de zala;Pr GOUDOUM Augustin
Test de Fertilisation à base de l’urine humaine (comparaison avec les autres fertilisants : fientes de poules et engrais chimique) : Cas du maïs (Zea mays);Pr Philippe KOSMA
Évaluation des performances zootechniques des actifs productifs et amélioration de la résilience des ménages vulnérables dans le Département du Mayo-Kani;Pr DJOULDE DARMAN Roger
substitution du cocktail d’épices par les huiles essentielles dans le procédé de fabrication du Kilishi et du Kilishi en farce;Pr GOUDOUM Augustin
Étude de l'activité phytohormonale (auxine et cytokinine) et l'effet du substrat sur le bouturage de Artemisia annua;Pr TCHATCHOUA TCHAPDA Dorothy
Production des asticots dans localité de Maroua : étude de quelques facteurs d’influence;Pr PONKA Roger
Évaluation de la qualité hygiénique et nutritionnelle du lait cru utilisé par la SOTRALAIT SA Maroua;Pr ABDOU BOUBA Armand
Adaptabilité de six variétés de tomates par la technique de bouturage;Pr HAMAWA YOUGOUDA
Niveau d’appropriation des outils de gestion et performances des  EFA de l’observatoire;Dr NYORE
Essaie de capture, transfert et élevage des colonies d’abeilles du genre apis Mellifera adensoni pour la production du miel de qualité dans la zone périurbaine de Maroua (Extrême Nord Cameroun);Pr PONKA Roger
Caractérisation des EFAs de l’observatoire et enjeux économiques de leur exploitation;Pr MADI ALI
Évaluation de l'effet du substrat sur la levée et la croissance de l'igname (Dioscorea rotundata spp) en miniset;Pr HAMAWA YOUGOUDA
Évaluation de l'effet des fertilisants minéraux et des fertilisants organiques sur la productivité du maïs dans la localité de Njombé;Pr Philippe KOSMA
Efficacité économique et rentabilité financière des unîtes de production de tomate dans le département de Diamaré;Dr NYORE
Production d’un vin blanc d’anacardier;Pr DJOULDE DARMAN Roger
Modèle de consommation alimentaire des ménages ruraux et sécurité alimentaire;Dr NYORE
Effets des substrats, des hormones et la provenance sur  l’enracinement de poivrier (Piper nigrum.L);Pr TCHATCHOUA TCHAPDA Dorothy
Pratiques innovantes pour  la lutte contre les ravageurs du cacaoyer dans la localité de MFomo;Pr Philippe KOSMA
criblage des variétés de sorgho pluvial (Sorghum bicolor) a doubles usages contre Striga hermonthica;Dr YAKOUBA Oumarou
Évaluation de la qualité microbiologique et nutritionnelle des produits laitiers (yaourt, beurre, fromages, crème glacée);Pr ABDOU BOUBA Armand
Étude comparative de deux méthodes d’aménagement des parcelles agricoles : méthode classique (ancienne) et la méthode nouvelle.;Dr TIZE KODA Joel
Dimensionnement hydraulique des ouvrages des ouvrages d’art (cas des dalots sur les Mayo) de la route Makalingai-Tokombéré dans a région de l’extrême Nord.;Dr ABOUKAR
Étude technique et financière de la réhabilitation du réseau d’alimentation en eau potable et d’évaluation des eaux usées de la CNRPH de Yaoundé.;Pr OMBOLO Auguste
Étude hydrologique et hydraulique des ouvrages de franchissement et longitudinaux sur la route Maroua-Mora.;Pr EWODO MBOUDOU Guillaume
Études spécifiques des travaux de construction des drains principaux dans la ville de Maroua : cas des quartiers Pitoiré et Doursoungo.;Pr OMBOLO Auguste
Étude de faisabilité pour la réalisation d’un système d’approvisionnement en eau potable simplifiée (AEPS) et gestion des eaux de pluie dans les projets d’aménagement : cas des cent (100) logements sociaux de Maroua.;Pr MOHAMADOU ALIDOU
Études hydrologiques et hydrauliques des ouvrages de franchissement dans la ville de Maroua : cas de deuxième pont Makabai sur le Mayo Tsanaga.;Pr OMBOLO Auguste
Contribution à l’amélioration du réseau d’alimentation en eau potable de la ville de Maroua.;Dr MOHAMMADOU SALI
Conception du système d’assainissement en eau potable en vue d’améliorer les conditions d’accès à l’eau potable dans la commune de Koutaba : cas des villages Koumenke.;Pr MOHAMADOU ALIDOU
Évaluation du système d’irrigation goutte à goutte de la culture de tomate : cas de la ferme agropastorale de Foulouwayna à Yagoua.;Pr EWODO MBOUDOU Guillaume
Diagnostic du réseau existant et optimisation de la gestion de l’eau dans les périmètres rizicoles de la SEMRY : cas du casier III du périmètre de la SP 21.;Pr OMBOLO Auguste
Études diagnostic et amélioration d’un système d’approvisionnement en eau potable dans l’arrondissement de Koutaba : cas des villages Didango, Koumelap, Koutaba, Leposerie, Ngoundoup, Koundja.;Dr MOHAMMADOU SALI
Aménagement d’un périmètre irrigué pour la culture de banane plantain dans la localité de Njombé-Penja.;Pr EWODO MBOUDOU Guillaume
Dimensionnement d’un réseau d’AEP couplé au système d’informations géographiques : cas du tronçon Nkometou-Soa sur le projet paepys;Pr EWODO MBOUDOU Guillaume
Caractérisation hydrologique des sites potentiels pour la construction des barrages de retenue d’eau dans la région de l’Extrême Nord.;Pr EWODO MBOUDOU Guillaume
Risques sanitaires et environnementaux liés à la pratique de la riziculture dans la localité de Pouss(Extrême Nord Cameroun).;Dr MADOMGUIA Diane
Route et prévention contre les effets néfastes de l’eau (projet de réhabilitation de la route bitumée Maroua-Mora).;Pr MOHAMADOU ALIDOU
Accès à l’eau potable, à l’assainissement en milieu rural des points d’eau : cas de la commune de Kar-Hay.;Dr ABOUKAR
Assessment of the bacteriological quality of drinking water in Limbe and it’s heath impact case study: spring and boreholes.;Dr FITA DASSOU Elisabeth
Étude hydrologique et dimensionnement hydraulique d’un ouvrage de franchissement sur la route Yaoundé – Kribi : Olama – Bingambo (108km).;Pr OMBOLO Auguste
Le lac municipal d’Ebolowa, un réservoir parasitaire à risque pour la santé humaine et environnementale.;Dr NZIELEU Joseph Guy
Bio-évaluation de l’eau des rizières de la localité de Pouss (Extrême-Nord, Cameroun) en vue de la pratique rizipisculture.;Dr MADOMGUIA Diane
Analyse de l’offre et de la demande des services d’assainissement liquide dans la région de l’extrême Nord (cas de Mokolo).;Pr OMBOLO Auguste
Risques environnementaux et sanitaires liés à la gestion des déchets hospitaliers : cas de l’hôpital de district d’Akonolinga;Dr OBONO MBA Felicite
Techniques d’approche IECCC pour l’amélioration de l’environnement sanitaire et humain des populations du Mayo Kaliao, arrondissement de Maroua 1er : cas du quartier Pitoaré. IECCC : Information, Education, Communication pour le Changement de Comportement;Pr ABDOU BOUBA Armand
Évaluation physico-chimique et bactériologique des eaux de boisson du quartier Nkomo.;Dr BINELI Etienne
Concentration, biodisponibilité et évaluation du niveau de risque lié aux métaux lourds dans le lac Maga, Extrème-Nord Cameroun.;Dr NZIELEU Joseph Guy
Recherche des métaux lourds dans les poisons des canaux rizicoles de Pouss.;Dr MADOMGUIA Diane
Proposition d’un système d’assainissement liquide pour les logements sociaux de Beka Matari de la ville Ngaoundéré Région de l’Adamaouaa .;Pr OMBOLO Auguste
Qualité physico-chimique des eaux du lac Maga(EN) et évolution des risques pour la santé liés aux protistes Giardia et Cryptosporidium.;Dr NZIELEU Joseph Guy
Approvisionnement en eau potable et assainissement en milieu rural pour un développement durable.;Dr MOHAMMADOU SALI
Étude diagnostique des pratiques d’hygiène et assainissement, et estimation de risque sanitaire dans la ville de MAROUA : cas des quartiers Doualaré et Pont-Vert.;Dr BON Andre
Distribution of Lighting Strikes in Cameroon using Earth Networks System from April to July 2021;Dr BON Andre
Performance des modèles numériques dans la simulation des précipitations à l’échelle intra-saisonnières au Cameroun : application aux événements extrêmes (inondation);Dr DAIKA Augustin
Performance des modèles numériques sur la simulation des précipitations à l’échelle saisonnières en République Démocratique du Congo : application au paludisme;Dr DAIKA Augustin
Diffusion des prévisions agro-météorologiques au moyen de l’application  AGROMET;Dr DAIKA Augustin
Évaluation des risques et Proposition d’un réseau d’alerte pour la protection contre les inondations du fleuve Logone dans la ville de Ndjamena : cas du 9eme arrondissement de 2000 à 2020;Dr FITA DASSOU Elisabeth
Étude hydrologique des bassins versants de Maroua et Guider pour le dimensionnement en vue de l’implantation des panneaux solaires;Dr FITA DASSOU Elisabeth
Conception d’un logiciel de décodage des messages météorologiques;M KANKO Joel Sylvain
Évaluation des propriétés hydrauliques des aquifères du socle du bassin versant du Mayo-Tsanaga (Extrême-Nord Cameroun);Dr BON Andre
Performance des modèles numériques sur la simulation des précipitations à l’échelle saisonnières : cas des événements extrêmes des précipitations sur l’Angola;Dr BON Andre
Impact du changement climatique sur les ressources en eau de surface : cas du Logone à Laï;Dr BINELI Etienne
Évaluation de la productivité de la ressource en eau pour les usages domestiques et agricole dans le bassin versant d’Awout à Messam;Dr FITA DASSOU Elisabeth
Analyse comparée entre les données de la station synoptique automatique et les données de la station synoptique manuelle de l’aéroport international de Garoua;Dr DAIKA Augustin
Évaluation des apports en eau et pilotage de l’irrigation sur un Hectare d’aménagement hydro-agricole : Cas du périmètre rizicole de Mansen, arrondissement de Bangourain, département du Noun, Région de l’Ouest Cameroun;Dr BON Andre
Gestion de l’eau de Mare pour l’irrigation dans le Logone et Chari;Dr BON Andre
Analyse de la dégradation physique du sol dans les parcelles de l’école technique d’agriculture de Maroua;Dr SOUORE Irene
Performance des modèles numériques sur la simulation des précipitations à l’échelle saisonnières : application à l’agriculture;M KANKO Joel Sylvain
Conception d’un appareil de mesure automatique du niveau des eaux souterraines;Dr BON Andre
Approvisionnement Durable en Eau Potable Simplifiée : Soulédé-Roua;Dr BINELI Etienne
Traits caractéristiques des saisons sèches et humides du site aéroportuaire de Yaoundé-Nsimalen.;Dr BON Andre
la croissance économique au Cameroun face aux variabilités climatiques observées au cours de la période 2009-2021       ;M KANKO Joel Sylvain
Épaisseur des couches (925-850hpa), (850-700) et type de temps associé à la station de Garoua durant la période avril-juillet.;M KANKO Joel Sylvain
Variabilité intra saisonnier des précipitations dans la ville de Douala : cas d’étude du mois d’Août ;Dr BON Andre
Inondations du 12 Août et du 1er septembre 2021 sur la ville de Douala : Variabilités des paramètres clés ;M KANKO Joel Sylvain
Conception d’un système de collecte de données pluviométriques ;Dr BON Andre
cisaillement du vent à l’aéroport de Garoua durant la période avril-juillet;Dr SALE ABOU
Les paramètres prédicteurs des précipitations dans la ville de Yaoundé;M KANKO Joel Sylvain
Time series analysis of cumulonimbus clouds on Nsimalen-Yaounde. case study: the month of October;Pr KOSSOUMNA LIBA’A Natali
Essai de caractérisation des pluies enregistrées à la station de Yaoundé-Nsimalen durant l’année 2020;Dr DAIKA Augustin
Evolution de la température dans la ville de Garoua de 1991 à Août 2021;Dr BON Andre
Analyses of the vertical profile of humidity from radiosonde soundings launched from the garoua meteorological station from april to july 2021;M KANKO Joel Sylvain
Evolution des températures à Douala durant la Période de 1991 à 2020;Dr BON Andre
Prévision des systèmes d’acquisition de données pour une météorologie nationale productive au Cameroun;M KANKO Joel Sylvain
Droit, collecte, traitement et conservation des données météorologiques au Cameroun;Dr CEPPA Bruno
Analyse horaires et prévision de décollage : cas de l’aérodrome de Yaoundé-Nsimalen;Dr FITA DASSOU Elisabeth
Étude comparée des conditions thermiques et pluviométriques représentatives du climat actuel dans la ville de Garoua de 1991 à 2020;M KANKO Joel Sylvain
Analyse du profil vertical du vent issu des radiosondages à la station de Garoua pendant la période d’avril a juillet 2021;Dr DAIKA Augustin
Étude de la fréquence d’occurrence des phénomènes météorologiques dangereux sources d’incidents aéronautiques à l’aéroport international de Yaounde-Nsimalen;Dr FITA DASSOU Elisabeth
Caractérisation hydrogéologique des aquifères dans la zone de Tokombéré;M BINELI Etienne
Dimensionnement d'un bassin de recueillement dans localité de Zina dans la région de l'extrême nord Cameroun;Pr MOHAMADOU ALIDOU
Place de l'eau de boisson dans la recrudescence des calculs urinaires dans la ville de Maroua (Extrême-Nord, Cameroun;Dr MADOMGUIA Diane
Étude de la qualité des eaux utilisées à l'Hôpital Régional de Maroua (Extrême-Nord Cameroun;Dr MADOMGUIA Diane
Analyse situationnelle de l'assainissement dans la commune de Maroua III;Pr OMBOLO Auguste
Analyse situationnelle de l'assainissement dans la ville de Maroua Extrême Nord Cameroun : cas de I 'arrondissement de Maroua II;Pr OMBOLO Auguste
Conception et dimensionnement d'un forage pastoral alimenté par énergie photovoltaïque : cas de Baiga, arrondissement de Tchatibali;Pr OMBOLO Auguste
Étude hydraulique d’un barrage dans la localité de Touloum.;Pr OMBOLO Auguste
Caractérisation hydrogéophysique et hydrodynamique des aquifères dans l’arrondissement de Ngwei;Dr BON Andre
Étude d'impact du climat sur les barrages dans la Région de l'Extrême Nord Cameroun;Dr FITA DASSOU Elisabeth
Optimisation d’un réseau de drainage d’une plateforme de poste électrique par procédure multicritérielle : cas du poste 225 kV du barrage de Natchigal;Pr OMBOLO Auguste
Contribution à l'amélioration de la gestion des effluents liquides à l'Hôpital Régional de Maroua;Pr OMBOLO Auguste
Étude hydrologique et hydraulique des ouvrages de franchissement dans le cadre du projet de réhabilitation de la route Maroua-Mora : cas du dalot à double section du PK 45+800;Pr EWODO MBOUDOU Guillaume
Identification et prévention des menaces liées au tarissement des mares dans le parc national de Waza;Pr MOHAMADOU ALIDOU
Conception et dimensionnement d'un système d'assainissement des eaux usées et pluviales au CNRPH dans le cadre dc la construction des nouveaux bâtiments;Dr ABOUKAR
Conception et modélisation des réseaux hydrauliques dans le bâtiment siège du centre des archives de la Cour Suprême R+7+l SS : Yaoundé Cameroun;Dr ABOUKAR
Dimensionnement d'une digue de ceinture en terre contre les inondations dans la localité de Zina, Département du Logone et Chari, région de l'extrême nord Cameroun.;Dr ABOUKAR
Dimensionnement des ouvrages d'accès et la gestion des eaux à l'intérieur de la digue de protection en terre dans la localité de Zina;Dr MOHAMMADOU SALI
Dimensionnement d'un système d'alimentation ct d'évacuation d'un bâtiment à usage d'habitation (R+4) Nom II- Yaoundé.;Dr MOHAMMADOU SALI
Études techniques en vue de la réalisation d'un système d'adduction en eau potable à Dana, Commune de Yagoua, département de Mayo-Danay;Dr MOHAMMADOU SALI
Diagnostic et proposition d'un réseau d'adduction en eau des étangs piscicoles dans la ferme Agropastorale à Yagoua;Pr MOHAMADOU ALIDOU
Conception et dimensionnement du réseau d'alimentation en eau potable : cas de la comme de Ntui;Dr BINELI Etienne
Évaluation des rejets liquides et proposition d'un système de réhabilitation de la station d'épuration du cam sic cité verte Yaoundé;Dr BINELI Etienne
Évaluation des risques sanitaires et environnementaux liés à la défaillance de certains ouvrages d'assainissement à l'hôpital régional de Maroua dans l'Extrême Nord Cameroun;Dr FITA DASSOU Elisabeth
Études spécifiques des travaux de constructions des ouvrages de franchissement sur la route de Maroua-Mora : cas des buses sur le tronçon PK 29+506 dans la localité de Mokio;Pr EWODO MBOUDOU Guillaume
Étude diagnostique des ouvrages d'approvisionnement en eau potable et assainissement dans la localité de;Pr EWODO MBOUDOU Guillaume
Diagnostic et conception d'un système d'irrigation par aspersion pour une culture de manioc sur une surface de 1.5ha (cas de l'IRAD de Mbalma o);Pr EWODO MBOUDOU Guillaume
Étude technique d'aménagement d'un périmètre hydroagricole dans l'arrondissement de Zina : bloc I du sous casier AO de 1215ha;Pr EWODO MBOUDOU Guillaume
Étude des risques sanitaires liés aux défécations à l'air libre : cas de la commune de Touloum;Dr MADOMGUIA Diane
Étude de l'assainissement liquide dans la ville de Maroua : inondations et maladies liées à l'eau.;Pr OMBOLO Auguste
Réalisation d’un forage équipé d’une pompe solaire à usage pastoral et mini-AEPs: cas de l’arrondissement de Guidiguis, localité de Sirlawe.;Dr METSEBO Jules
Diagnostic de l’indisponibilité spatiotemporelle de l’eau pour l’élevage dans le canton de Lara : stratégie d’adaptation;Dr METSEBO Jules
Dimensionnement d’un réseau d’adduction en eau potable, d’évacuation d’eau usées et pluviales et recyclage des eaux de pluies en vue de leur utilisation dans un bâtiment de type 2 sous-sol R+2 à usage d’habitation.;Dr METSEBO Jules
Réalisation d’un forage à motricité humaine à GASCHIGA;Dr MOHAMMADOU SALI
Étude des méthodes de réalisations forations à boue et marteau fond de trou dans la localité de MOKON;Dr MOHAMMADOU SALI
Analyse et diagnostic des dysfonctionnements des forages réalisés dans la commune de Touloum;M MBA TENE Salomon
Contribution à l’entretien et à la sauvegarde d’une mare d’eau artificielle : cas de Djingliya dans la commune de Koza.;Dr AMINA Wassile
Dimensionnement d’un système d’irrigation gouttes à gouttes sur un hectare pour la culture du maïs : cas de la ferme semencière de Gazawa.;Dr ABOUKAR
Diagnostic des sources de dysfonctionnements des forages dans le canton de Zouelva.;Dr ABOUKAR
Etude d’un projet de forage pastoral à énergie solaire.;Dr METSEBO Jules
Assainissement et drainage d’une mini-cité d’habitation dans la commune de Maroua Ier(Domayo).;Dr AMINA Wassile
Réalisation de deux forages équipés de pompe de motricité humaine dans la localité de Magdeme arrondissement de Mora, département de Mayo-Sava, région de l’Extrême-Nord;Dr BON Andre
Étude de faisabilité pour la mise en place d’un système d’irrigation alimenté par une pompe solaire : cas de Bizili dans la commune de Touloum.;Dr BINELI Etienne
