matricule_etudiant;titre_memoire;annee
14A329S;Amélioration du rendement de la matière grasse des graines de coton à l'extraction et analyse des pertes raffinerie.;2017-2018
14A326S;Évaluation des apports nutritionnels et accès des aliments par les enfants de 6-59mois dans les familles dans le camp des réfugiés de Minawawo.;2017-2018
13Z156S;Management des risques qualité organoleptiques de la bière;2017-2018
13Z097S;Amélioration du fonctionnement de la station Cleaning In Place (CIP) automatique en salle de brassage ;2017-2018
16F112S;Valorisation des balles de riz (Oryzasativa) par la fabrication briquettes combustibles en vue de l’étuvage du riz ;2017-2018
13Z147S;Étude de l’origine de pourritures des tubercules des pommes de terre (Solanum tuberosum) et proposition d’une méthode de conservation : cas de coop CA Babajou;2017-2018
16F157S;Maîtrise de la qualité microbiologique de la bière en filtration;2017-2018
16F308S;Structuration des organisations féminines transformatrices de Karité : cas Belacd-caritas  de SARH au Tchad;2017-2018
16F085S;Autonomisation des personnes vulnérables à travers l’agriculture;2017-2018
15E366S;Impact de l'approche HIMO sur la réduction de la pauvreté dans les zones bénéficiaire. Cas de Wina et de Gobo;2017-2018
12X073S;Analyse de la chaîne de valeur de l’oignon dans le bassin de production de Doumourou dans le Département du Mayo-Kani Région de l’Extrême-Nord;2017-2018
13Z167S;Analyse des performances technico économiques des exploitations familiales agricoles dans le département de Mayo Tsanaga Extrême-Nord Cameroun accompagnées par le comité  diocésain de développement;2017-2018
13Z291S;Impact de la certification sur les performances des systèmes Agroforsterie à base de Cacao (SAFC) traditionnels au centre Cameroun;2017-2018
15E731S;Autonomisation des producteurs du département de la Bénoué (Garoua) par la pratique du warrantage;2017-2018
13Z289S;Retombées socio-économiques de la modernisation de la filière Neem dans la localité de Maroua;2017-2018
13Z427S;Test d’adaptabilité  de quelques  variétés de niebé dans la localité Mayo Meessala;2017-2018
16F124S;Inventaire des syrphidea (Diptère) en rapport avec les ressources florales dans la zone agricole de Meskine (Extrême-Nord Cameroun);2017-2018
16F018S;Impact des biopesticides sur les cultures maraîchères;2017-2018
16F312S;Impact du calendrier de culture sur le rendement du riz (oryzasatva);2017-2018
16F564S;Vegetative Propagation By Cuttings Of Selected Clones Of Robusta Coffee(Coffeacanephora) In Different Rooting Substrates;2017-2018
16F088S;Évaluation agronomique de 4 variétés de sésame introduite en zone  soudano sahelienne;2017-2018
13Z074S;Effet du poids de la graine et du niveau de fertilisation sur la croissance de l’anacardier;2017-2018
12X012S;Faisabilité de la culture des Sorghos pluviales en contre saison dans la zone soudano sahélienne: Cas de Maroua;2017-2018
16F126S;Étude de l'activité biopesticide des extraits poudreux des plantes dans la conservation du niébé (Vigna unguiculata ) dans la région de l'Extrême-Nord Cameroun;2017-2018
13Z236S;Performance agronomique de la culture de la laitue en pot fertilisé aux extraits organiques;2017-2018
16F488S;Effet de trois modes de prélèvement des semences à l’épi sur la croissance et le rendement d’une variété de de maïs (Zea mays l.)  dans le littoral Cameroun : IRAD de Njombé;2017-2018
13Z738S;Répercussions des visites florales d’insectes sur la pollinisation et les rendements d’Abelmoschus esculentus (Malvaceae) à Nkolbisson (Yaoundé, Cameroun);2017-2018
15E186S;Adaptabilité agromorphologique  de  5 variétés d’oignons de saisons pluvieuse dans la zone soudano-sahélienne de l’Extrême-Nord Cameroun;2017-2018
13Z153S;Réponse a la croissance et au rendement de trois variétés du haricot vert  soumises à trois itinéraire techniques (14 23 14 ,7 18 30, 14-23-14+ solupotasse) sur un andosol à l’ouest Cameroun : cas de la localité de Foumbot;2017-2018
13Z174S;Impact des types de fertilisants : chimiques,  organiques et biologiques et des modes d'approvisionnement  en eau sur 5 variétés de pommes de terre. Cas de Maroua, Extrême-Nord.;2017-2018
16F142S;Effet de la substitution dans la ration alimentaire du maïs par les épluchures de patate (Ipomoea batatas) sur les performances de reproduction des lapines (Oryctalagus cuniculus domesticus) en zone soudano-sahélienne.;2017-2018
16F346S;substitution du maïs par le mil rouge dans l’alimentation des poulets de chair;2017-2018
15E857S;Performances de croissance des chèvres du sahel supplémentés avec du fourrage ligneux;2017-2018
16F195S;Étude comparée de l’effet  de différents taux de supplémentation des asticots vivants sur les performances zootechniques des alevins du poisson-chat africain, Clarias gariepinnus (Burchell, 1822);2017-2018
16F182S;Substitution du tourteau de soja  par la farine de niébé blanc dans l’alimentation des poulets de chair.;2017-2018
16F020S;Étude comparative de deux types  d'aliments (tourteaux de sésame et pelure de patates) sur les performances zootechnique des lapins après le sevrage;2017-2018
13Z148S;Effet de la substitution du son de maïs par les drêches de bili-bili (séchées) sur les performances de croissance des mouton dans la ferme ovine de SCOOPSIPOMA;2017-2018
16F314S;Effet de la farine de luzerne supplée à l’aliment des lapines allaitantes sur la croissance des lapereaux;2017-2018
16F068S;The comperative study of the effect of 2 rations :Bidens pilosa(Black jack)and Cynodon dactylon(Bahama grass)on the zootechnical performances and Carcass characteristics of fattened goats;2017-2018
15E860S;Évaluation du taux d'éclosablilité et qualité du poussin d’un jour dans la ferme NGV/TRACO;2017-2018
15E354S;Effet de trois rations à base de banane sur la croissance des jeunes porcs en zone côtière;2017-2018
13Z798S;le parasitisme d'Apis mellifera et son effet sur la production de miel;2017-2018
16F076S;"Étude comparative  des rations supplémentées aux plantes tropicales (Azatirata indica ; Ipomea pes caprae ; Manguifera indica) comme fourrage afin d’améliorer les performances de croissance des lapereaux (Oryctolagus cuniculus) dans une ferme cunicole de Maroua. ";2017-2018
16F048S;Évaluation de la pression vectorielle dans les pâturages et les stratégies de lutte anti vectorielle mise en œuvre par les éleveurs dans l’arrondissement de Pétté, Extrême-nord Cameroun;2017-2018
12X622S;Effets comparés de l'hormone synthétique (OVAPRIM) et de l'hormone biologique (hypophyse)sur les performances de la reproduction de Clarias gariepinus.;2017-2018
16F206S;Phenotypic (Physical And Morphometic) Characterisation Of Indegenous Pig Breeds In Three Regions Of Cameroon (Centre, Far North And West Regions).;2017-2018
14A710S;Efficacité technico-économique d’embouche à base des sous-produits agro-industriels : cas du coton;2017-2018
16F382S;Effet des fertilisants organiques sur le mode de propagation (semi et bouturage) d’Artemisia annua en pépinière et en champ;2020-2021
17Y200P;effets des substrats et les modes de semis sur la croissance et le développement duS dans la culture du sorgho;2020-2021
19A0003P;Essai d'alimentation à base de Piliostigma Thonningii et de Faidherbia albida en système intensif d'embouche bovine dans la zone sub-humide et semi-aride du Cameroun;2020-2021
19A0005P;Évaluation du potentiel fixateur d’azote de dix (10) accessions d’arachide (Arachis hypogaea) dans la Région de l’Extrême-Nord Cameroun;2020-2021
15E117S;Effet des milieux de cultures sur les paramètres bio morphologiques de  Fusarium oxysporum sp de niébé et leur pathogénicité;2020-2021
19A0007P;Résiliation des producteurs agricoles et enjeu économique : cas du département de Mayo Sava;2020-2021
19A0008P;Test d’efficacité  de cinq (05) extraits de plantes pour la lutte contre certains ravageurs du sorgho ( Sorghum bicolor);2020-2021
19A0009P;Effet de la substitution de la farine de poisson par la farine d’asticots sur les performances zootechniques de croissance des poulets de la race Brahma.;2020-2021
19A0010P;Analyse de la performance technico-economique des producteurs des carottes dans le Département du Diamaré;2020-2021
16F298S;Effets de la farine d’asticots sur les performances Zootechniques de Clarias;2020-2021
14A364S;Évaluation des effets de deux hormones sur le greffage du cacaoyer (Theobroma cacao l) dans la localité de Nkoemvome ( Sud Cameroun);2020-2021
19A0013P;Évaluation du potentiel  d’un inoculum rhizobium commercial par rapport  à l’efficiente symbiotique  sur 02 espèces de légumineuses (Vigna unguiculata et Glycine max);2020-2021
19A0014P;Diversité des fusarium spp responsables de la fusariose du Striga chez le sorgho (Pennisetum glaucum)  à l’Extrême-Nord Cameroun;2020-2021
16F282S;Conservation de la carotte (Daucuscarota) à travers deux techniques : le séchage et le saumurage;2020-2021
16F397S;Exploitation des pelures de manioc et élimination du cyanure par des techniques endogènes;2020-2021
16F273S;Effet de la farine d’asticot sur les performances zootechnique du lapin;2020-2021
16F376S;Adaptabilité de 08 lignées de riz irrigués en réponse avec les différentes doses de NPK dans le bassin de production de Lagdo.;2020-2021
19A0021P;Effet d'un biofertilisant associé au thé de compost sur la croissance et le rendement de gombo dans la zone péri-urbaine de Maroua( Extrême- Nord, Cameroun);2020-2021
16F192S;Évaluation des productivités des facteurs contraignants à la production des bulbes d’oignons dans la Région de l’Extrême-Nord;2020-2021
19A0023P;Évaluation des effets des biopesticides produit à base d’un extrait aqueux de piment, tabac et leurs effets combines contre les pucerons du gombo (Abelmoschus esculentus) dans l’Extrême-Nord localité de zala;2020-2021
16F291S;Test de Fertilisation à base de l’urine humaine (comparaison avec les autres fertilisants : fientes de poules et engrais chimique) : Cas du maïs (Zea mays);2020-2021
19A0025P;Évaluation des performances zootechniques des actifs productifs et amélioration de la résilience des ménages vulnérables dans le Département du Mayo-Kani;2020-2021
16F305S;substitution du cocktail d’épices par les huiles essentielles dans le procédé de fabrication du Kilishi et du Kilishi en farce;2020-2021
19A0027P;Étude de l'activité phytohormonale (auxine et cytokinine) et l'effet du substrat sur le bouturage de Artemisia annua;2020-2021
19A0028P;Production des asticots dans localité de Maroua : étude de quelques facteurs d’influence;2020-2021
19A0029P;Évaluation de la qualité hygiénique et nutritionnelle du lait cru utilisé par la SOTRALAIT SA Maroua;2020-2021
16F277S;Adaptabilité de six variétés de tomates par la technique de bouturage;2020-2021
18A0438P;Niveau d’appropriation des outils de gestion et performances des  EFA de l’observatoire;2020-2021
19A0035P;Essaie de capture, transfert et élevage des colonies d’abeilles du genre apis Mellifera adensoni pour la production du miel de qualité dans la zone périurbaine de Maroua (Extrême Nord Cameroun);2020-2021
15E330S;Caractérisation des EFAs de l’observatoire et enjeux économiques de leur exploitation;2020-2021
19A0038P;Évaluation de l'effet du substrat sur la levée et la croissance de l'igname (Dioscorea rotundata spp) en miniset;2020-2021
16F268S;Évaluation de l'effet des fertilisants minéraux et des fertilisants organiques sur la productivité du maïs dans la localité de Njombé;2020-2021
19A0040P;Efficacité économique et rentabilité financière des unîtes de production de tomate dans le département de Diamaré;2020-2021
19A0041P;Production d’un vin blanc d’anacardier;2020-2021
19A0042P;Modèle de consommation alimentaire des ménages ruraux et sécurité alimentaire;2020-2021
19A0043P;Effets des substrats, des hormones et la provenance sur  l’enracinement de poivrier (Piper nigrum.L);2020-2021
16F255S;Pratiques innovantes pour  la lutte contre les ravageurs du cacaoyer dans la localité de MFomo;2020-2021
19A0047P;criblage des variétés de sorgho pluvial (Sorghum bicolor) a doubles usages contre Striga hermonthica;2020-2021
16F203S;Évaluation de la qualité microbiologique et nutritionnelle des produits laitiers (yaourt, beurre, fromages, crème glacée);2020-2021
19A0049P;Étude comparative de deux méthodes d’aménagement des parcelles agricoles : méthode classique (ancienne) et la méthode nouvelle.;2020-2021
15E463S;Dimensionnement hydraulique des ouvrages des ouvrages d’art (cas des dalots sur les Mayo) de la route Makalingai-Tokombéré dans a région de l’extrême Nord.;2019-2020
15E1078S;Étude technique et financière de la réhabilitation du réseau d’alimentation en eau potable et d’évaluation des eaux usées de la CNRPH de Yaoundé.;2019-2020
13Z688S;Étude hydrologique et hydraulique des ouvrages de franchissement et longitudinaux sur la route Maroua-Mora.;2019-2020
15E137S;Études spécifiques des travaux de construction des drains principaux dans la ville de Maroua : cas des quartiers Pitoiré et Doursoungo.;2019-2020
15E376S;Étude de faisabilité pour la réalisation d’un système d’approvisionnement en eau potable simplifiée (AEPS) et gestion des eaux de pluie dans les projets d’aménagement : cas des cent (100) logements sociaux de Maroua.;2019-2020
15E125S;Études hydrologiques et hydrauliques des ouvrages de franchissement dans la ville de Maroua : cas de deuxième pont Makabai sur le Mayo Tsanaga.;2019-2020
15E220S;Contribution à l’amélioration du réseau d’alimentation en eau potable de la ville de Maroua.;2019-2020
15E171S;Conception du système d’assainissement en eau potable en vue d’améliorer les conditions d’accès à l’eau potable dans la commune de Koutaba : cas des villages Koumenke.;2019-2020
15E915S;Évaluation du système d’irrigation goutte à goutte de la culture de tomate : cas de la ferme agropastorale de Foulouwayna à Yagoua.;2019-2020
15E187S;Diagnostic du réseau existant et optimisation de la gestion de l’eau dans les périmètres rizicoles de la SEMRY : cas du casier III du périmètre de la SP 21.;2019-2020
15E916S;Études diagnostic et amélioration d’un système d’approvisionnement en eau potable dans l’arrondissement de Koutaba : cas des villages Didango, Koumelap, Koutaba, Leposerie, Ngoundoup, Koundja.;2019-2020
15E426S;Aménagement d’un périmètre irrigué pour la culture de banane plantain dans la localité de Njombé-Penja.;2019-2020
15E718S;Dimensionnement d’un réseau d’AEP couplé au système d’informations géographiques : cas du tronçon Nkometou-Soa sur le projet paepys;2019-2020
18A0503P;Caractérisation hydrologique des sites potentiels pour la construction des barrages de retenue d’eau dans la région de l’Extrême Nord.;2019-2020
18A0552P;Risques sanitaires et environnementaux liés à la pratique de la riziculture dans la localité de Pouss(Extrême Nord Cameroun).;2019-2020
14A594S;Route et prévention contre les effets néfastes de l’eau (projet de réhabilitation de la route bitumée Maroua-Mora).;2019-2020
18A0578P;Accès à l’eau potable, à l’assainissement en milieu rural des points d’eau : cas de la commune de Kar-Hay.;2019-2020
18A0506P;Assessment of the bacteriological quality of drinking water in Limbe and it’s heath impact case study: spring and boreholes.;2019-2020
15E073S;Étude hydrologique et dimensionnement hydraulique d’un ouvrage de franchissement sur la route Yaoundé – Kribi : Olama – Bingambo (108km).;2019-2020
18A0509P;Le lac municipal d’Ebolowa, un réservoir parasitaire à risque pour la santé humaine et environnementale.;2019-2020
18A0505P;Bio-évaluation de l’eau des rizières de la localité de Pouss (Extrême-Nord, Cameroun) en vue de la pratique rizipisculture.;2019-2020
14A475S;Analyse de l’offre et de la demande des services d’assainissement liquide dans la région de l’extrême Nord (cas de Mokolo).;2019-2020
18A0510P;Risques environnementaux et sanitaires liés à la gestion des déchets hospitaliers : cas de l’hôpital de district d’Akonolinga;2019-2020
15E917S;Techniques d’approche IECCC pour l’amélioration de l’environnement sanitaire et humain des populations du Mayo Kaliao, arrondissement de Maroua 1er : cas du quartier Pitoaré. IECCC : Information, Education, Communication pour le Changement de Comportement;2019-2020
15E1080S;Évaluation physico-chimique et bactériologique des eaux de boisson du quartier Nkomo.;2019-2020
15E717S;Concentration, biodisponibilité et évaluation du niveau de risque lié aux métaux lourds dans le lac Maga, Extrème-Nord Cameroun.;2019-2020
15E180S;Recherche des métaux lourds dans les poisons des canaux rizicoles de Pouss.;2019-2020
18A0494P;Proposition d’un système d’assainissement liquide pour les logements sociaux de Beka Matari de la ville Ngaoundéré Région de l’Adamaouaa .;2019-2020
14A530S;Qualité physico-chimique des eaux du lac Maga(EN) et évolution des risques pour la santé liés aux protistes Giardia et Cryptosporidium.;2019-2020
18A0507P;Approvisionnement en eau potable et assainissement en milieu rural pour un développement durable.;2019-2020
18A0504P;Étude diagnostique des pratiques d’hygiène et assainissement, et estimation de risque sanitaire dans la ville de MAROUA : cas des quartiers Doualaré et Pont-Vert.;2019-2020
18A0239P;Distribution of Lighting Strikes in Cameroon using Earth Networks System from April to July 2021;2020-2021
18A0241P;Performance des modèles numériques dans la simulation des précipitations à l’échelle intra-saisonnières au Cameroun : application aux événements extrêmes (inondation);2020-2021
18A0242P;Performance des modèles numériques sur la simulation des précipitations à l’échelle saisonnières en République Démocratique du Congo : application au paludisme;2020-2021
18A0231P;Diffusion des prévisions agro-météorologiques au moyen de l’application  AGROMET;2020-2021
15E560S;Évaluation des risques et Proposition d’un réseau d’alerte pour la protection contre les inondations du fleuve Logone dans la ville de Ndjamena : cas du 9eme arrondissement de 2000 à 2020;2020-2021
18A0230P;Étude hydrologique des bassins versants de Maroua et Guider pour le dimensionnement en vue de l’implantation des panneaux solaires;2020-2021
18A0238P;Conception d’un logiciel de décodage des messages météorologiques;2020-2021
18A0244P;Évaluation des propriétés hydrauliques des aquifères du socle du bassin versant du Mayo-Tsanaga (Extrême-Nord Cameroun);2020-2021
18A0246P;Performance des modèles numériques sur la simulation des précipitations à l’échelle saisonnières : cas des événements extrêmes des précipitations sur l’Angola;2020-2021
18A0232P;Impact du changement climatique sur les ressources en eau de surface : cas du Logone à Laï;2020-2021
18A0240P;Évaluation de la productivité de la ressource en eau pour les usages domestiques et agricole dans le bassin versant d’Awout à Messam;2020-2021
18A0234P;Analyse comparée entre les données de la station synoptique automatique et les données de la station synoptique manuelle de l’aéroport international de Garoua;2020-2021
18A0228P;Évaluation des apports en eau et pilotage de l’irrigation sur un Hectare d’aménagement hydro-agricole : Cas du périmètre rizicole de Mansen, arrondissement de Bangourain, département du Noun, Région de l’Ouest Cameroun;2020-2021
18A0236P;Gestion de l’eau de Mare pour l’irrigation dans le Logone et Chari;2020-2021
18A0229P;Analyse de la dégradation physique du sol dans les parcelles de l’école technique d’agriculture de Maroua;2020-2021
18A0235P;Performance des modèles numériques sur la simulation des précipitations à l’échelle saisonnières : application à l’agriculture;2020-2021
18A0243P;Conception d’un appareil de mesure automatique du niveau des eaux souterraines;2020-2021
18A0245P;Approvisionnement Durable en Eau Potable Simplifiée : Soulédé-Roua;2020-2021
18A0645P;Traits caractéristiques des saisons sèches et humides du site aéroportuaire de Yaoundé-Nsimalen.;2020-2021
18A0632P;la croissance économique au Cameroun face aux variabilités climatiques observées au cours de la période 2009-2021       ;2020-2021
18A0659P;Épaisseur des couches (925-850hpa), (850-700) et type de temps associé à la station de Garoua durant la période avril-juillet.;2020-2021
18A0660P;Variabilité intra saisonnier des précipitations dans la ville de Douala : cas d’étude du mois d’Août ;2020-2021
18A0551P;Inondations du 12 Août et du 1er septembre 2021 sur la ville de Douala : Variabilités des paramètres clés ;2020-2021
18A0554P;Conception d’un système de collecte de données pluviométriques ;2020-2021
18A0550P;cisaillement du vent à l’aéroport de Garoua durant la période avril-juillet;2020-2021
18A0597P;Les paramètres prédicteurs des précipitations dans la ville de Yaoundé;2020-2021
18A0653P;Time series analysis of cumulonimbus clouds on Nsimalen-Yaounde. case study: the month of October;2020-2021
18A0651P;Essai de caractérisation des pluies enregistrées à la station de Yaoundé-Nsimalen durant l’année 2020;2020-2021
19A740P;Evolution de la température dans la ville de Garoua de 1991 à Août 2021;2020-2021
19A718P;Analyses of the vertical profile of humidity from radiosonde soundings launched from the garoua meteorological station from april to july 2021;2020-2021
19A719P;Evolution des températures à Douala durant la Période de 1991 à 2020;2020-2021
19A725P;Prévision des systèmes d’acquisition de données pour une météorologie nationale productive au Cameroun;2020-2021
19A720P;Droit, collecte, traitement et conservation des données météorologiques au Cameroun;2020-2021
19A722P;Analyse horaires et prévision de décollage : cas de l’aérodrome de Yaoundé-Nsimalen;2020-2021
19A723P;Étude comparée des conditions thermiques et pluviométriques représentatives du climat actuel dans la ville de Garoua de 1991 à 2020;2020-2021
19A724P;Analyse du profil vertical du vent issu des radiosondages à la station de Garoua pendant la période d’avril a juillet 2021;2020-2021
19A721P;Étude de la fréquence d’occurrence des phénomènes météorologiques dangereux sources d’incidents aéronautiques à l’aéroport international de Yaounde-Nsimalen;2020-2021
14A276S;Caractérisation hydrogéologique des aquifères dans la zone de Tokombéré;2016-2017
18A0422P;Dimensionnement d'un bassin de recueillement dans localité de Zina dans la région de l'extrême nord Cameroun;2020-2021
16F280S;Place de l'eau de boisson dans la recrudescence des calculs urinaires dans la ville de Maroua (Extrême-Nord, Cameroun;2020-2021
16F261S;Étude de la qualité des eaux utilisées à l'Hôpital Régional de Maroua (Extrême-Nord Cameroun;2020-2021
14A276S;Analyse situationnelle de l'assainissement dans la commune de Maroua III;2020-2021
16F527S;Analyse situationnelle de l'assainissement dans la ville de Maroua Extrême Nord Cameroun : cas de I 'arrondissement de Maroua II;2020-2021
15E302S;Conception et dimensionnement d'un forage pastoral alimenté par énergie photovoltaïque : cas de Baiga, arrondissement de Tchatibali;2020-2021
19A0168P;Étude hydraulique d’un barrage dans la localité de Touloum.;2020-2021
19A0157P;Caractérisation hydrogéophysique et hydrodynamique des aquifères dans l’arrondissement de Ngwei;2020-2021
19A0159P;Étude d'impact du climat sur les barrages dans la Région de l'Extrême Nord Cameroun;2020-2021
19A0136P;Optimisation d’un réseau de drainage d’une plateforme de poste électrique par procédure multicritérielle : cas du poste 225 kV du barrage de Natchigal;2020-2021
16F447S;Contribution à l'amélioration de la gestion des effluents liquides à l'Hôpital Régional de Maroua;2020-2021
15E039S;Étude hydrologique et hydraulique des ouvrages de franchissement dans le cadre du projet de réhabilitation de la route Maroua-Mora : cas du dalot à double section du PK 45+800;2020-2021
16F199S;Identification et prévention des menaces liées au tarissement des mares dans le parc national de Waza;2020-2021
16F217S;Conception et dimensionnement d'un système d'assainissement des eaux usées et pluviales au CNRPH dans le cadre dc la construction des nouveaux bâtiments;2020-2021
16F249S;Conception et modélisation des réseaux hydrauliques dans le bâtiment siège du centre des archives de la Cour Suprême R+7+l SS : Yaoundé Cameroun;2020-2021
19A0139P;Dimensionnement d'une digue de ceinture en terre contre les inondations dans la localité de Zina, Département du Logone et Chari, région de l'extrême nord Cameroun.;2020-2021
19A0137P;Dimensionnement des ouvrages d'accès et la gestion des eaux à l'intérieur de la digue de protection en terre dans la localité de Zina;2020-2021
16F151S;Dimensionnement d'un système d'alimentation ct d'évacuation d'un bâtiment à usage d'habitation (R+4) Nom II- Yaoundé.;2020-2021
19A0141P;Études techniques en vue de la réalisation d'un système d'adduction en eau potable à Dana, Commune de Yagoua, département de Mayo-Danay;2020-2021
19A0145P;Diagnostic et proposition d'un réseau d'adduction en eau des étangs piscicoles dans la ferme Agropastorale à Yagoua;2020-2021
19A0160P;Conception et dimensionnement du réseau d'alimentation en eau potable : cas de la comme de Ntui;2020-2021
16F262S;Évaluation des rejets liquides et proposition d'un système de réhabilitation de la station d'épuration du cam sic cité verte Yaoundé;2020-2021
15E428S;Évaluation des risques sanitaires et environnementaux liés à la défaillance de certains ouvrages d'assainissement à l'hôpital régional de Maroua dans l'Extrême Nord Cameroun;2020-2021
16F428S;Études spécifiques des travaux de constructions des ouvrages de franchissement sur la route de Maroua-Mora : cas des buses sur le tronçon PK 29+506 dans la localité de Mokio;2020-2021
19A0155P;Étude diagnostique des ouvrages d'approvisionnement en eau potable et assainissement dans la localité de;2020-2021
19A0161P;Diagnostic et conception d'un système d'irrigation par aspersion pour une culture de manioc sur une surface de 1.5ha (cas de l'IRAD de Mbalma o);2020-2021
19A0167P;Étude technique d'aménagement d'un périmètre hydroagricole dans l'arrondissement de Zina : bloc I du sous casier AO de 1215ha;2020-2021
19A0144P;Étude des risques sanitaires liés aux défécations à l'air libre : cas de la commune de Touloum;2020-2021
19A0164P;Étude de l'assainissement liquide dans la ville de Maroua : inondations et maladies liées à l'eau.;2020-2021
18A0137P;Réalisation d’un forage équipé d’une pompe solaire à usage pastoral et mini-AEPs: cas de l’arrondissement de Guidiguis, localité de Sirlawe.;2020-2021
18A0151P;Diagnostic de l’indisponibilité spatiotemporelle de l’eau pour l’élevage dans le canton de Lara : stratégie d’adaptation;2020-2021
18A0117P;Dimensionnement d’un réseau d’adduction en eau potable, d’évacuation d’eau usées et pluviales et recyclage des eaux de pluies en vue de leur utilisation dans un bâtiment de type 2 sous-sol R+2 à usage d’habitation.;2020-2021
20C0656EP;Réalisation d’un forage à motricité humaine à GASCHIGA;2020-2021
20C0657EP;Étude des méthodes de réalisations forations à boue et marteau fond de trou dans la localité de MOKON;2020-2021
18A0126P;Analyse et diagnostic des dysfonctionnements des forages réalisés dans la commune de Touloum;2020-2021
18A0152P;Contribution à l’entretien et à la sauvegarde d’une mare d’eau artificielle : cas de Djingliya dans la commune de Koza.;2020-2021
18A0121P;Dimensionnement d’un système d’irrigation gouttes à gouttes sur un hectare pour la culture du maïs : cas de la ferme semencière de Gazawa.;2020-2021
18A0141P;Diagnostic des sources de dysfonctionnements des forages dans le canton de Zouelva.;2020-2021
18A0147P;Etude d’un projet de forage pastoral à énergie solaire.;2020-2021
18A0123P;Assainissement et drainage d’une mini-cité d’habitation dans la commune de Maroua Ier(Domayo).;2020-2021
18A0129P;Réalisation de deux forages équipés de pompe de motricité humaine dans la localité de Magdeme arrondissement de Mora, département de Mayo-Sava, région de l’Extrême-Nord;2020-2021
18A0149P;Étude de faisabilité pour la mise en place d’un système d’irrigation alimenté par une pompe solaire : cas de Bizili dans la commune de Touloum.;2020-2021
18A0150P;Caractérisation hydrogéologique et hydrodynamique des aquifères dans l’arrondissement de Ndoukoula : cas de la  localité de Loulou et Gawel.;2020-2021
18A0147P;Étude de la mise place d’une adduction d’eau potable alimentée par une source d’énergie solaire : cas de la localité de Moutourwa, département de Mayo-Kani, région de l’Extrême-Nord.;2020-2021
18A0122P;Système de gestion des points d’eau existants dans la zone septentrionale : cas des communes de Maroua Ier, Maroua II et Maroua III.;2020-2021
18A0146P;Étude d’avant-projet de réalisation d’un système d’abreuvoirs alimenté par une pompe solaire : cas du village Aissa-Harde;2020-2021
18A0116P;Impact socio-sanitaires et environnementaux des déchets liquides dans les mini-cités de Maroua.;2020-2021
18A0124P;Évaluation de la connaissance, attitude et pratique du personnel soignant pour la prévention des infections nosocomiales à l’hôpital régional de Maroua;2020-2021
18A0135P;Impacts sanitaires et socio-économiques des inondations sur les habitants de Maroua (cas de Doualaré et Ouro-tchédé).;2020-2021
18A0133P;Risques sanitaires et impacts écotoxicologiques liés aux déchets solides hospitaliers.;2020-2021
18A0125P;Redimensionnement et apport de solution du réseau d’alimentation en eau potable de l’hôpital régional de Maroua;2020-2021
18A0148P;Étude diagnostique des forages en vue de leur réhabilitation/transformation en mini-AEP dans la commune de Kaélé.;2020-2021
20C0658EP;Étude des méthodes de réalisations forations à boue et marteau fond de trou dans la localité de MOKON;2020-2021
20C0662EP;Réalisation d’un forage à motricité humaine à GASCHIGA;2020-2021
17Y509P;Impact  des   subventions    publics dans l’amélioration des conditions de vie des organisations paysannes : cas de PCP-ACEFA;2019-2020
17Y101P;Analyse de la compétitivité de la production du riz dans l’arrondissement de kousseri;2019-2020
16F500S;Atouts et limites des AVEC (association villageoise d’épargne et de crédit) au sein de la communauté de Mokolo;2019-2020
16F229S;Analyse des performances technico-économique des exploitations familiales dans le mayo-tsanaga;2019-2020
17Y163P;Évaluation technico-économique d’un projet de production de 135 Tonnes de maïs sur une superficie de 45 hectare par les membres du GIC référence de Lainde Daneyel;2019-2020
16F519S;Analyse technico-économique de la production paysanne du sorgho sp dans la localité de Mokolo;2019-2020
17Y093P;Évaluation des quelques paramètres agronomique de la variété rio grand de la tomate sous l’effet des différents éléments fertilisants dans la localité de meskine;2019-2020
17Y471P;Évaluation de la rentabilité économique des exploitations familiales agropastorales dans le cadre du programme ACEFA :cas de l’arrondissement deNgaounderé I;2019-2020
17Y185P;Effet de la durée en pépinière sur la reprise et le développement de la plante d’anacarde dans la localité de Bogo;2019-2020
17Y111P;Étude comparative des modalités de travail du sol et leurs influences sur le Riz(VAR IR46) : cas d’un périmètre irrigué de Yagoua;2019-2020
17Y507P;Facteur d’échecs et de réussite de la promotion des cultures maraîchère dans la localité de Kismatari-Nord et Biziligasawa-Extrême-Nord;2019-2020
17Y193P;Effets des insectes ravageurs sur la production du riz de la variété nerica 3 en culture pluviale :cas de l’ordre des lepidoptères et des odonates dans l’agrosystème rizicol de Guiring.;2019-2020
17Y035P;Études de l’adaptabilité de trois variétés de tomates dans l’arrondissement de Maroua 1er;2019-2020
16F236S;Impacts des insectes ravageurs(cas des coléoptères) sur le riz pluvial de variété NIRICA III;2019-2020
17Y086P;Évaluation des connaissances des agriculteurs sur l’usage des pesticides utilisés en cultures maraîchère dans la ville de maroua :cas de Meskine,garde et ziling;2019-2020
17Y027P;Comparaison de l’adaptabilité d’anacard en fonction de provenance dans la localité de Bogo(Extreme-nord Cameroun);2019-2020
17Y511P;Effets des insectes ravageurs(diptères et orthoptères) sur la production de la variété du riz pluvial nerica 3 dans l’agroécosystème de Diamaré.;2019-2020
17Y112P;Diagnostic de la filière semence maïs.;2019-2020
